first_seen,last_seen,organization,title,location,posted_date,matched_keywords,relevance_score,url
2026-03-25 12:29:27,2026-03-25 12:29:27,Careers@Gov,Analyst - Senior Principal Analyst (Nuclear Policy and Planning),Singapore,11 Apr 2026,energy,3,https://jobs.careers.gov.sg/jobs/hrp/17099614/005056a3-53e2-1fd1-87ca-2155b30fb3ea
2026-03-25 12:25:12,2026-03-25 12:29:27,Careers@Gov,"Deputy Director, Sustainable Energy, Urban Solutions and Sustainability New",Singapore,22 Apr 2026,"energy, sustainability, sustainable",7,https://jobs.careers.gov.sg/jobs/hrp/17325012/005056a3-d347-1fe1-89f8-0e1174e1e28d
2026-03-25 12:25:12,2026-03-25 12:29:27,Careers@Gov,"Snr Exec/ Mgr (Career Development and Transition), Workforce Development New",Singapore,08 Apr 2026,transition,3,https://jobs.careers.gov.sg/jobs/hrp/17162953/005056a3-53e2-1fd1-89fc-11a623e613ea
2026-03-25 12:25:12,2026-03-25 12:29:27,Careers@Gov,"Specialist/Sr Specialist (Sustainable Water & Resources) - 3 years contract, TED New",Singapore,07 Apr 2026,sustainable,3,https://jobs.careers.gov.sg/jobs/hrp/17322016/005056a3-53e2-1fd1-89eb-ec96cd9233ea
2026-03-25 12:25:12,2026-03-25 12:29:27,Careers@Gov,AI Engineer (Data and Analytics Department) New,Singapore,18 Apr 2026,energy,3,https://jobs.careers.gov.sg/jobs/hrp/17307042/005056a3-53e2-1fd1-89a1-005c67dfd3ea
2026-03-25 12:25:12,2026-03-25 12:29:27,Careers@Gov,Data Engineer (Data and Analytics Department) New,Singapore,18 Apr 2026,energy,3,https://jobs.careers.gov.sg/jobs/hrp/17307043/005056a3-53e2-1fd1-89a1-00fa35b5f3ea
2026-03-25 12:25:12,2026-03-25 12:29:27,Careers@Gov,Engineer - Senior Principal Engineer (Gas System Supervision/ PSOD) New,Singapore,17 Apr 2026,energy,3,https://jobs.careers.gov.sg/jobs/hrp/17302054/005056a3-d347-1fe1-88fa-6e3b63a7e28d
2026-03-25 12:25:12,2026-03-25 12:29:27,Careers@Gov,Associate Engineer (Generation Operation Support/PSOD) New,Singapore,17 Apr 2026,energy,3,https://jobs.careers.gov.sg/jobs/hrp/17302050/005056a3-d347-1fe1-88fa-69c12aa7a28d
2026-03-25 12:25:12,2026-03-25 12:29:27,Careers@Gov,Data Scientist (DAD) New,Singapore,,energy,3,https://jobs.careers.gov.sg/jobs/hrp/17185406/005056a3-53e2-1fd1-85e7-d7403af193ea
2026-03-25 12:25:12,2026-03-25 12:29:27,Careers@Gov,Analyst - Senior Analyst (International Relations/ ERD) New,Singapore,20 Apr 2026,energy,3,https://jobs.careers.gov.sg/jobs/hrp/17296632/005056a3-d347-1fe1-88e1-086f2a1ca28d
2026-03-25 12:25:12,2026-03-25 12:29:27,Careers@Gov,Engineer - Senior Principal Engineer (Gas System Performance/ GSD),Singapore,16 Apr 2026,energy,3,https://jobs.careers.gov.sg/jobs/hrp/17290727/005056a3-53e2-1fd1-88c7-e4d1efa0b3ea
2026-03-25 12:25:12,2026-03-25 12:29:27,Careers@Gov,"Snr Assistant Director/Deputy Director (Career Development and Transition), WD",Singapore,01 Apr 2026,transition,3,https://jobs.careers.gov.sg/jobs/hrp/17197364/005056a3-d347-1fe1-88da-4fd8a306228d
2026-03-25 12:25:12,2026-03-25 12:29:27,Careers@Gov,Senior Engineer - Senior Principal Engineer (Strategic Land Planning),Singapore,15 Apr 2026,energy,3,https://jobs.careers.gov.sg/jobs/hrp/17284099/005056a3-d347-1fe1-88ae-b7028099228d
2026-03-25 12:25:12,2026-03-25 12:29:27,Careers@Gov,Engineer - Senior Principal Engineer (Electricity Network Infrastructure),Singapore,11 Apr 2026,energy,3,https://jobs.careers.gov.sg/jobs/hrp/17268371/005056a3-53e2-1fd1-87e3-490d608053ea
2026-03-25 12:25:12,2026-03-25 12:29:27,Careers@Gov,Analyst - Senior Principal Analyst (Nuclear Ecosystem),Singapore,11 Apr 2026,energy,3,https://jobs.careers.gov.sg/jobs/hrp/17099617/005056a3-53e2-1fd1-87ca-1e76b7f993ea
